,Name,id,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
157,Ramon Urias,,58,48,35,22,7,0,5,46,17,0,47,4,.267,176,.345,.392,.737,1,1,.500,2,818,197,69,25,76,0,0,.336,1.37,0,35.20
158,Andrelton Simmons,,98,127,78,32,10,0,3,50,27,0,70,2,.217,322,.282,.276,.558,0,1,1.000,10,1301,354,89,25,142,3,0,.249,1.63,0,107.33
159,Andrew Velazquez,,6,6,1,2,1,0,0,4,0,0,2,0,.154,13,.154,.231,.385,1,0,.000,1,57,13,3,0,7,0,0,.222,6.00,0,-.--
160,Jake Cave,,48,34,17,10,5,1,1,43,8,0,20,3,.177,113,.250,.265,.516,0,1,1.000,0,511,125,30,4,47,1,0,.275,2.00,0,113.00
161,Sergio Alcantara,,53,32,31,16,4,3,2,35,14,0,22,2,.188,117,.281,.325,.606,0,1,1.000,1,571,136,38,7,54,1,2,.244,1.03,0,58.50
162,Nicky Lopez,,105,113,77,45,12,5,0,49,33,0,85,2,.270,315,.341,.340,.681,0,10,1.000,5,1412,359,107,28,116,7,2,.317,1.47,0,-.--
163,Emmanuel Rivera,,12,10,10,2,1,0,0,9,2,0,10,0,.256,39,.293,.282,.575,0,0,.---,2,168,41,11,2,18,0,0,.333,1.00,0,-.--
164,Jonathan Davis,,60,23,26,20,1,0,1,23,12,0,11,3,.134,82,.265,.183,.448,1,4,.800,1,408,98,15,4,37,0,1,.169,0.88,0,82.00
165,Andres Gimenez,,36,29,27,12,4,0,2,26,7,0,17,3,.177,96,.250,.281,.531,0,6,1.000,1,417,109,27,6,36,1,2,.214,1.07,0,48.00
166,Vimael Machin,,12,9,7,1,0,0,0,9,2,0,2,0,.077,26,.143,.077,.220,0,0,.---,2,98,29,2,1,10,1,0,.118,1.29,0,-.--
